railway,station,x,y,tokyo
湯前線,おかどめ幸福,-845763,-382542,908870
湯前線,東免田,-841996,-380753,904705
湯前線,相良藩願成寺,-855880,-383155,918458
湯前線,川村,-853549,-384603,916852
湯前線,人吉温泉,-857401,-383276,919911
しなの鉄道線,平原,-123878,35126,136962
しなの鉄道線,屋代高校前,-152277,62143,175388
しなの鉄道線,中軽井沢,-111319,39277,128664
しなの鉄道線,御代田,-119156,36209,133494
しなの鉄道線,軽井沢,-107569,38708,125281
しなの鉄道線,信濃追分,-114446,37972,130503
しなの鉄道線,田中,-134999,40373,149207
しなの鉄道線,上田,-142010,45073,157633
しなの鉄道線,西上田,-145667,47478,162004
しなの鉄道線,戸倉,-150543,56008,170604
しなの鉄道線,坂城,-148057,52526,166655
しなの鉄道線,信濃国分寺,-139926,43104,154840
しなの鉄道線,大屋,-137851,42102,152543
しなの鉄道線,滋野,-131902,38982,145832
しなの鉄道線,屋代,-152695,60441,174804
しなの鉄道線,テクノさかき,-147493,50141,164934
しなの鉄道線,小諸,-126660,37079,140350
しなの鉄道線,篠ノ井,-151715,65369,176727
広島短距離交通瀬野線,みどり中街,-665915,-150569,669930
広島短距離交通瀬野線,みどり中央,-666393,-150245,670345
広島短距離交通瀬野線,みどり口,-665838,-151170,669958
七尾線,和倉温泉,-258550,123202,297806
七尾線,七尾,-255248,119445,293018
七尾線,笠師保,-264591,123924,303322
七尾線,田鶴浜,-261640,122302,299958
七尾線,西岸,-262896,131445,305898
七尾線,穴水,-259916,140282,308330
七尾線,能登中島,-264856,127238,305292
七尾線,能登鹿島,-260680,134945,305967
わたらせ渓谷線,桐生,-44852,45729,89323
わたらせ渓谷線,花輪,-47074,57916,101319
わたらせ渓谷線,水沼,-49784,55603,100358
わたらせ渓谷線,神戸,-42689,59743,101327
わたらせ渓谷線,相老,-47439,45659,90414
わたらせ渓谷線,通洞,-35204,70734,109420
わたらせ渓谷線,上神梅,-51584,52309,98225
わたらせ渓谷線,間藤,-34263,72581,110958
わたらせ渓谷線,足尾,-34476,71292,109767
わたらせ渓谷線,運動公園,-47749,46776,91549
わたらせ渓谷線,小中,-44371,59546,101764
わたらせ渓谷線,本宿,-51431,53568,99272
わたらせ渓谷線,大間々,-49830,48364,93917
わたらせ渓谷線,沢入,-39111,64511,104602
わたらせ渓谷線,下新田,-46481,45367,89718
わたらせ渓谷線,原向,-36924,68572,107816
わたらせ渓谷線,中野,-46225,58293,101324
阿佐東線,海部,-509045,-253454,548467
阿佐東線,宍喰,-513969,-256143,554055
阿佐東線,甲浦,-515249,-258270,556080
阿武隈急行線,福島,55213,194851,237627
阿武隈急行線,角田,82497,220050,269743
阿武隈急行線,南角田,82267,218450,268157
阿武隈急行線,大泉,64576,202197,247243
阿武隈急行線,保原,63679,201599,246415
阿武隈急行線,卸町,56904,199428,242487
阿武隈急行線,高子,61099,200894,245019
阿武隈急行線,瀬上,58579,200208,243679
阿武隈急行線,兜,71517,210633,257346
阿武隈急行線,岡,83147,224457,274121
阿武隈急行線,上保原,62479,201041,245542
阿武隈急行線,二井田,65761,203086,248435
阿武隈急行線,北丸森,82485,216034,265949
阿武隈急行線,丸森,81611,214650,264354
阿武隈急行線,槻木,85680,231136,281261
阿武隈急行線,横倉,82797,222017,271700
阿武隈急行線,富野,69862,208328,254651
阿武隈急行線,東船岡,83945,227928,277663
阿武隈急行線,梁川,67777,205121,250970
阿武隈急行線,福島学院前,57707,199802,243057
阿武隈急行線,向瀬上,59612,200682,244412
阿武隈急行線,新田,66866,204199,249821
阿武隈急行線,やながわ希望の森公園前,68838,206447,252551
阿武隈急行線,あぶくま,74951,212665,260332
愛知環状鉄道線,新豊田,-244377,-97905,246533
愛知環状鉄道線,保見,-245968,-92442,246736
愛知環状鉄道線,山口,-248760,-85570,247952
愛知環状鉄道線,大門,-244582,-109591,249978
愛知環状鉄道線,高蔵寺,-253887,-78053,251569
愛知環状鉄道線,永覚,-245886,-104571,249773
愛知環状鉄道線,新上挙母,-244640,-99683,247248
愛知環状鉄道線,八草,-248344,-88129,248083
愛知環状鉄道線,末野原,-245127,-103251,248677
愛知環状鉄道線,瀬戸市,-250802,-82393,249324
愛知環状鉄道線,三河上郷,-246499,-106227,250828
愛知環状鉄道線,北野桝塚,-245933,-108033,250807
愛知環状鉄道線,中水野,-251317,-79670,249324
愛知環状鉄道線,三河豊田,-244712,-101497,247800
愛知環状鉄道線,篠原,-247164,-90404,247432
愛知環状鉄道線,瀬戸口,-250527,-84554,249476
愛知環状鉄道線,愛環梅坪,-243653,-96004,245351
愛知環状鉄道線,四郷,-243440,-94150,244688
愛知環状鉄道線,貝津,-244742,-92869,245645
愛知環状鉄道線,北岡崎,-244342,-110744,250097
愛知環状鉄道線,岡崎,-244521,-115949,251896
愛知環状鉄道線,中岡崎,-244839,-112498,251108
愛知環状鉄道線,六名,-244965,-114167,251749
東部丘陵線,杁ヶ池公園,-254664,-88306,254295
東部丘陵線,陶磁資料館南,-249251,-87624,248861
東部丘陵線,公園西,-251106,-88122,250779
東部丘陵線,愛・地球博記念公園,-250123,-87775,249745
東部丘陵線,芸大通,-252539,-88351,252228
東部丘陵線,長久手古戦場,-253607,-88366,253275
東部丘陵線,はなみずき通,-254867,-87659,254359
東部丘陵線,八草,-248412,-87950,248111
東部丘陵線,藤が丘,-256056,-87106,255407
鞍馬山鋼索鉄道,多宝塔,-370220,-90468,368385
鞍馬山鋼索鉄道,山門,-370223,-90678,368419
伊勢線,河芸,-302294,-130260,311240
伊勢線,伊勢上野,-301171,-128147,309528
伊勢線,鈴鹿サーキット稲生,-299858,-123661,306946
伊勢線,中瀬古,-301077,-126838,309045
伊勢線,鈴鹿,-296650,-119613,302718
伊勢線,玉垣,-298451,-122147,305163
伊勢線,徳田,-300940,-125287,308455
伊勢線,河原田,-295574,-116008,300691
伊勢線,東一身田,-304106,-132673,313710
伊勢線,津,-304321,-135369,314766
伊豆急行線,稲梓,-80957,-141413,130335
伊豆急行線,伊豆熱川,-69896,-130963,115467
伊豆急行線,蓮台寺,-81722,-143913,132823
伊豆急行線,片瀬白田,-70647,-132647,117286
伊豆急行線,河津,-76674,-138635,125614
伊豆急行線,伊豆北川,-69299,-129837,114198
伊豆急行線,伊豆急下田,-81467,-146109,134491
伊豆急行線,南伊東,-68065,-115371,101709
伊豆急行線,今井浜海岸,-75866,-137945,124590
伊豆急行線,富戸,-64116,-120693,103717
伊豆急行線,城ヶ崎海岸,-65028,-122896,106054
伊豆急行線,伊豆高原,-66290,-124291,107916
伊豆急行線,伊豆稲取,-72854,-135658,121014
伊豆急行線,伊豆大川,-69437,-128052,112794
伊豆急行線,伊東,-67679,-113479,99977
伊豆急行線,川奈,-64710,-116157,100336
十国鋼索線,十国登り口,-72537,-96485,90719
十国鋼索線,十国峠,-72227,-96487,90494
駿豆線,修善寺,-80562,-112882,107959
