station,x,y,tokyo
市塙,24789,59741,99392
三島,-84078,-96550,99526
三島二日町,-82715,-98245,99534
高崎問屋町,-73253,38713,99538
城東,-67472,43668,99584
三島田町,-83387,-97661,99683
北高崎,-74593,37877,99837
天矢場,28895,58777,99839
中央前橋,-67996,43640,99886
笹原田,27884,59289,99971
大場,-81508,-100345,99973
三島広小路,-84048,-97310,99976
伊東,-67679,-113479,99977
大洗,65490,35236,100089
春日居町,-106310,-35591,100239
川奈,-64710,-116157,100336
水沼,-49784,55603,100358
下土狩,-85507,-96269,100477
新前橋,-70551,42338,100487
東富岡,-83716,29340,100668
常陸青柳,58416,42755,100818
茂木,31170,58951,100820
伊豆仁田,-81322,-101838,100820
東水戸,61269,40355,100867
花輪,-47074,57916,101319
神戸,-42689,59743,101327
上州富岡,-84592,29314,101329
原木,-81140,-103311,101672
南伊東,-68065,-115371,101709
小中,-44371,59546,101764
常澄,65132,38046,101823
西富岡,-85415,29283,101949
大岡,-86719,-97645,102279
岡本,9923,66385,102380
上州七日市,-86155,29121,102424
韮山,-80987,-104667,102479
常陸津田,58263,45037,102486
石和温泉,-108549,-37333,102507
群馬八幡,-78624,37819,102605
上州一ノ宮,-87106,28515,102796
伊豆長岡,-80819,-106164,103385
神農原,-88934,27369,103551
日工前,62019,43285,103558
板荷,-11230,68732,103597
金上,62855,42658,103641
富戸,-64116,-120693,103717
勝田,61989,43855,103968
那珂湊,67708,38601,104031
高田の鉄橋,67033,39368,104098
中根,65395,41015,104146
群馬総社,-71838,46399,104441
沢入,-39111,64511,104602
後台,58898,47248,104609
沼津,-88684,-99075,104707
安中,-82491,37189,104942
殿山,68903,39043,105192
南蛇井,-91632,26907,105452
田京,-81002,-108962,105468
文挟,-9435,70768,105558
酒折,-111730,-37065,105681
下仁田,-94110,23863,105755
下菅谷,59249,48491,105803
城ヶ崎海岸,-65028,-122896,106054
千平,-93021,26016,106069
平磯,69486,39945,106240
宝積寺,13073,70091,106562
善光寺,-112644,-37026,106594
中菅谷,59107,49656,106635
片浜,-92458,-97351,106690
磯部,-88347,33553,106922
牧之郷,-80238,-111822,106968
下小代,-10677,72279,107115
上菅谷,59086,50781,107514
金手,-113578,-36750,107522
大仁,-81781,-111197,107599
常陸鴻巣,56848,52585,107631
南甲府,-113667,-38798,107669
原向,-36924,68572,107816
伊豆高原,-66290,-124291,107916
修善寺,-80562,-112882,107959
佐和,63407,47993,108037
原,-94786,-96584,108142
甲府,-114342,-36260,108278
甲斐住吉,-114424,-39582,108457
磯崎,70397,42197,108475
阿字ヶ浦,69890,42824,108565
瓜連,55201,55452,109036
下野花岡,15677,72132,109060
静,54181,56324,109192
八木原,-72961,51766,109346
岳南江尾,-98533,-93181,109381
通洞,-35204,70734,109420
南酒出,59585,53135,109694
神谷,-99329,-92536,109714
足尾,-34476,71292,109767
明神,-10826,75073,109913
国母,-116053,-40231,110115
仁井田,17548,72945,110243
須津,-100159,-92584,110445
小塙,25332,71392,110679
額田,60032,54102,110737
下野大沢,-9020,76168,110944
間藤,-34263,72581,110958
東田子の浦,-99134,-95280,111020
岳南富士岡,-101117,-92520,111229
松井田,-93006,34798,111321
大金,23456,72848,111565
安中榛名,-88317,40672,111581
鴻野山,19518,73967,111676
氏家,11508,75644,111773
常陸大宮,51867,60856,111782
滝,27262,72004,111826
常永,-117787,-41708,111929
比奈,-102006,-92451,111954
渋川,-73873,54819,112325
岳南原田,-102823,-91930,112389
小井川,-118220,-43091,112456
東海,65666,51897,112483
烏山,28768,72213,112483
西松井田,-93988,35577,112574
東花輪,-118372,-44163,112692
伊豆大川,-69437,-128052,112794
竜王,-118958,-35963,112890
玉川村,48431,64406,113138
河合,61254,56606,113476
本吉原,-103902,-92375,113544
甲斐上野,-119001,-46958,113586
吉原,-103029,-94392,113837
吉原本町,-104184,-92505,113853
ジヤトコ前(ジヤトコ1地区前),-104160,-92839,114002
伊豆北川,-69299,-129837,114198
芦川,-119849,-47669,114506
今市,-13039,79938,114887
谷河原,61951,57890,114923
敷島,-71577,59940,115128
市川本町,-120689,-47929,115371
下今市,-12555,80517,115436
伊豆熱川,-69896,-130963,115467
入山瀬,-107993,-89400,115652
塩崎,-121783,-33811,115712
富士根,-109055,-87510,115715
上今市,-13618,80786,115769
蒲須坂,10457,79976,115898
源道寺,-109816,-86478,115929
常陸太田,62175,59172,116090
市川大門,-121489,-47937,116166
大谷向,-12628,81258,116180
野上原,49796,67358,116383
信濃川上,-117803,-1887,116457
富士宮,-110859,-85723,116530
津久田,-70756,62538,116817
竪堀,-108178,-91649,116893
新富士,-106606,-94545,116977
片瀬白田,-70647,-132647,117286
富士,-107626,-93520,117337
西富士宮,-112039,-85237,117383
横川,-98339,37833,117384
金島,-76736,59099,117466
佐久広瀬,-118455,1207,117988
柚木,-108801,-92835,118017
日光,-18853,82947,118376
東武日光,-19037,83008,118456
鰍沢口,-123542,-50023,118457
山方宿,50778,69437,118678
韮崎,-125043,-31338,119017
市ノ瀬,-122642,-58810,119026
落居,-123567,-54221,119097
大桑,-10692,84421,119247
祖母島,-78458,60353,119505
片岡,10018,83741,119566
大甕,70409,57197,119590
久那土,-123947,-56666,119895
甲斐常葉,-123137,-60762,119921
甲斐岩間,-124325,-55439,120049
沼久保,-113741,-88116,120172
中舟生,49974,71770,120354
岩本,-70295,67103,120398
野辺山,-122578,-4103,120463
富士川,-110681,-94607,120528
新府,-126654,-28289,120751
下部温泉,-123575,-62854,120817
伊豆稲取,-72854,-135658,121014
佐久海ノ口,-121004,3184,121024
新高徳,-10945,86526,121361
芝川,-115603,-88319,121932
波高島,-124745,-63645,122140
下小川,49503,74372,122449
小野上,-81564,61685,122457
稲子,-118004,-84594,122531
穴山,-128375,-26691,122565
新蒲原,-111683,-97007,122599
清里,-126051,-8068,122904
海尻,-122529,5438,123189
常陸多賀,71562,61557,123693
塩之沢,-125333,-67946,123795
小野上温泉,-83164,62191,123845
小佐越,-11317,89020,123868
松原湖,-122769,7626,124146
小海,-121616,10682,124148
十島,-119922,-84607,124291
馬流,-121316,12139,124410
身延,-125437,-69967,124453
東武ワールドスクウェア,-11093,89691,124529
今井浜海岸,-75866,-137945,124590
日野春,-130081,-22264,124632
沼田,-71328,71561,124729
甲斐大泉,-128521,-10566,124809
蒲原,-113984,-97570,124870
西金,49431,77310,125042
矢板,8890,89503,125138
軽井沢,-107570,38678,125264
井出,-122162,-82662,125590
河津,-76674,-138635,125614
甲斐大島,-125572,-73658,125676
高岩,-122056,13693,125686
鬼怒川温泉,-10406,91270,126081
寄畑,-123590,-80714,126189
市城,-85120,63734,126273
内船,-124471,-78773,126320
八千穂,-122039,15643,126435
海瀬,-121238,18124,126716
羽黒下,-120888,19298,126893
上小川,48716,79944,127098
長坂,-132537,-18182,127541
青沼,-120906,20953,127623
鬼怒川公園,-9855,93383,128176
由比,-116749,-99414,128187
臼田,-120972,22362,128303
龍岡城,-120732,23493,128597
日立,74130,65818,128624
中軽井沢,-111319,39277,128664
甲斐小泉,-133089,-12359,128970
郷原,-92413,61379,129200
中之条,-87861,65401,129293
新藤原,-8946,94589,129358
野崎,11127,93632,129517
太田部,-120973,25285,129631
群馬原町,-90322,63905,129722
後閑,-74469,75722,129919
龍王峡,-10231,95531,130335
稲梓,-80957,-141413,130335
信濃追分,-114446,37972,130503
矢倉,-93916,61841,130550
袋田,48776,83882,130688
中込,-121710,26440,130821
常陸大子,46197,85638,131235
滑津,-122092,27341,131582
上毛高原,-76470,77239,132265
北中込,-121915,29135,132282
小淵沢,-136996,-14047,132545
蓮台寺,-81722,-143913,132823
岩島,-96080,63029,132888
川治温泉,-11551,98109,132958
興津,-119632,-104326,133184
小木津,75292,70967,133394
御代田,-119156,36209,133494
岩村田,-122268,31312,133654
川治湯元,-11636,99335,134187
西那須野,13643,98067,134259
佐久平,-122962,31729,134463
伊豆急下田,-81467,-146109,134491
川原湯温泉,-101717,61079,135382
中佐都,-123949,32046,135478
上牧,-75804,81957,135940
美里,-124233,33317,136356
信濃境,-140659,-11643,136551
下野宮,48372,90651,136699
平原,-123878,35126,136962
十王,76210,74831,137026
三岡,-124376,34639,137143
清水,-122669,-107516,137445
新清水,-122827,-108222,137953
湯西川温泉,-12892,103148,138054
乙女,-125077,35439,138153
入江岡,-123384,-108434,138538
長野原草津口,-105976,61288,138568
桜橋,-123744,-108648,138956
東小諸,-125824,36083,139124
那須塩原,16723,103377,139983
小諸,-126660,37079,140350
富士見,-144003,-8557,140391
狐ヶ崎,-125366,-108808,140417
群馬大津,-107895,62122,140532
水上,-77128,86793,140777
矢祭山,50123,94452,140883
御門台,-126029,-109190,141181
羽根尾,-109923,61743,141750
湯檜曽,-75588,89399,142274
草薙,-126950,-109897,142337
高萩,78938,79623,142497
県立美術館前,-127364,-110324,142915
袋倉,-112289,61092,143055
すずらんの里,-146321,-6504,143059
県総合運動場,-128090,-110769,143766
東館,52599,96719,143956
万座・鹿沢口,-114793,59793,144068
中三依,-11929,109323,144179
大前,-116826,57773,144305
青柳,-147593,-5111,144586
古庄,-129060,-110816,144615
黒磯,20195,107665,144805
東静岡,-129708,-111803,145686
土合,-77192,92525,145785
滋野,-131902,38982,145832
南石井,52013,99432,146204
南中郷,79975,83960,146607
春日町,-130814,-112393,146936
磐城石井,51864,100534,147157
音羽町,-131251,-112390,147306
上三依塩原,-9435,112558,147333
日吉町,-131680,-112535,147747
新静岡,-132004,-112661,148089
高久,22609,110600,148140
静岡,-131832,-113125,148188
田中,-134999,40373,149207
茅野,-151618,752,149807
井川,-146784,-86200,149825
磯原,81483,88122,150867
男鹿高原,-9731,116275,151056
黒田原,25576,113597,151673
安倍川,-134212,-116502,152002
大屋,-137851,42102,152543
磐城塙,51539,106522,152557
閑蔵,-149271,-88438,152934
用宗,-134679,-118613,153539
接岨峡温泉,-150111,-89857,154222
上諏訪,-154717,6552,154270
尾盛,-151072,-88368,154597
信濃国分寺,-139926,43104,154840
土樽,-86630,97557,154890
奥大井湖上,-150554,-91073,155074
豊原,28616,117105,155755
会津高原尾瀬口,-11397,120955,155783
近津,49879,111160,156259
ひらんだ,-151710,-91377,156262
長島ダム,-152694,-90911,157011
大津港,84248,94292,157502
上田,-142010,45073,157633
下諏訪,-157485,9399,157711
城下,-142699,44720,158049
アプトいちしろ,-153832,-91042,158122
下之郷,-145037,41514,158507
中豊,49823,113598,158518
三好町,-143338,44643,158563
奥泉,-153582,-93022,158605
越後中里,-87756,101458,158811
大学前,-145206,42412,159090
赤坂上,-144089,44618,159202
神畑,-145032,43135,159290
中塩田,-146161,41532,159503
川根小山,-154211,-93905,159516
七ヶ岳登山口,-10303,124743,159536
磐城棚倉,49027,114995,159549
上田原,-144581,44520,159579
寺下,-145077,43808,159659
焼津,-138494,-124058,159728
塩田町,-146725,41284,159880
土本,-154392,-94534,159918
岩原スキー場前,-88555,103009,160552
川根両国,-154299,-96669,160643
白坂,31234,121587,160714
岡谷,-161108,7777,160757
沢間,-154852,-95782,160814
舞田,-148132,41168,161064
勿来,84978,98469,161352
千頭,-154652,-97666,161355
八木沢,-148765,41039,161562
会津山村道場,-9023,126963,161727
西上田,-145667,47478,162004
川岸,-163241,5183,162157
別所温泉,-150020,40485,162415
木ノ下,-166582,-9429,162490
北殿,-166982,-11788,162535
伊那松島,-166495,-7986,162635
会津荒海,-8850,127974,162735
田畑,-167584,-13853,162854
崎平,-155543,-99418,162863
西焼津,-141522,-125397,162988
越後湯沢,-91202,104283,163013
辰野,-165566,-151,163198
沢,-166737,-5486,163303
宮木,-166198,-1063,163626
羽場,-166729,-3628,163638
新白河,31474,124613,163715
伊那北,-168835,-15557,163886
青部,-156640,-99655,163964
伊那新町,-166795,-1881,164044
伊那市,-169310,-16302,164273
ガーラ湯沢,-92075,105926,164870
テクノさかき,-147493,50141,164934
駿河徳山,-157119,-101294,165058
白河,33682,125474,165071
磐城浅川,51663,119974,165134
赤木,-170822,-22990,165165
植田,85813,102567,165215
沢渡,-170760,-20129,165332
大田切,-171232,-26287,165373
宮田,-171304,-24164,165567
駒ヶ根,-171553,-27599,165632
中荒井,-7316,130960,165702
下島,-171091,-19072,165758
小町屋,-171727,-28651,165764
伊那福岡,-171866,-30263,165852
田切,-171985,-32110,165931
伊那本郷,-172101,-35457,166027
信濃川島,-167796,3116,166092
藤枝,-144533,-126486,166098
飯島,-172391,-34098,166317
坂城,-148057,52526,166655
久田野,37922,126303,166942
小野,-167826,6806,167000
みどり湖,-166719,12045,167317
田野口,-158538,-103863,167402
里白石,51849,122711,167765
七久保,-174036,-36609,167971
伊那大島,-173997,-43157,168133
伊那田島,-174198,-39629,168194
会津田島,-5239,133514,168253
石打,-91612,110223,168315
湯田中,-126674,83227,168700
上片桐,-174778,-40722,168809
田島高校前,-2888,134211,168978
高遠原,-175039,-37705,168990
山吹,-174930,-45128,169175
下泉,-159085,-107095,169256
会津長野,-842,134848,169666
上条,-127312,84121,169781
下平,-175616,-45691,169894
須坂,-136710,73962,169944
泉崎,41366,128617,170103
塩郷,-159083,-109812,170434
戸倉,-150543,56008,170604
大沢,-90047,113791,170622
六合,-149064,-127874,170647
養鱒公園,753,135871,170744
夜間瀬,-127676,85276,170850
塩尻,-169745,14384,170882
市田,-176513,-48252,170973
延徳,-131378,81643,171013
上越国際スキー場前,-89444,114620,171049
北須坂,-136270,76353,171148
地名,-159412,-111097,171298
泉,90903,106514,171338
塩沢,-87612,116014,171389
信濃竹原,-128538,85413,171561
広丘,-169520,18057,171760
村山,-138846,74274,171789
下市田,-177449,-48808,171951
中野松川,-130285,84282,172028
都住,-135022,79181,172061
村井,-168882,20972,172074
平田,-168260,22887,172118
南松本,-167584,24988,172198
信州中野,-131136,83634,172198
小布施,-135869,78633,172335
磐城石川,54250,126747,172384
千曲,-151551,57829,172429
川根温泉笹間渡,-159558,-113726,172617
六日町,-85166,118789,172701
洗馬,-172602,11367,172792
ふるさと公園,2279,137952,172891
抜里,-159435,-114718,172963
島田,-151834,-128523,173325
松本,-167990,27167,173346
西松本,-168128,26807,173346
元善光寺,-178828,-49926,173420
柳原,-140804,74764,173616
日出塩,-174664,7182,173723
北松本,-168294,27912,173897
渚,-168765,26834,173951
会津下郷,2804,139274,174237
附属中学前,-141733,74715,174307
冠着,-157219,52159,174343
家山,-160371,-116178,174471
信濃荒井,-169354,27061,174582
屋代,-152695,60441,174804
朝陽,-142371,75113,175053
立ヶ花,-136328,82227,175061
大庭,-170098,26841,175201
信濃浅野,-137463,81187,175218
野木沢,52183,130561,175264
屋代高校前,-152277,62143,175388
魚沼丘陵,-84959,122050,175514
福用,-159316,-120436,175577
弥五島,5024,140514,175602
伊那上郷,-180890,-51403,175608
島内,-169740,29048,175655
伊那八幡,-180714,-54007,175699
神尾,-158291,-122540,175724
豊野,-139173,80030,175746
下山村,-180861,-53177,175757
姨捨,-155888,57202,175775
湯本,90465,112210,175822
上今井,-135176,84657,175847
贄川,-177799,3351,175897
矢吹,43932,133903,175898
毛賀,-180931,-55036,176031
駄科,-180919,-56355,176175
三才,-142039,77362,176217
北長野,-143987,75000,176244
新金谷,-155115,-128957,176325
桜町,-181726,-51164,176418
五和,-156617,-126813,176468
信濃吉田,-144137,75266,176527
塔のへつり,6045,141428,176582
代官町,-156150,-127863,176621
五日町,-82189,124667,176644
川辺沖,50818,132495,176645
日切,-156476,-127474,176694
下新,-171778,26672,176716
替佐,-134731,86420,176724
篠ノ井,-151715,65369,176727
聖高原,-160072,51972,176730
島高松,-170923,29007,176743
鼎,-181888,-52878,176747
西条,-163331,45971,176758
桐原,-144842,75081,176965
長野,-147049,72582,177175
飯田,-182503,-51421,177215
北新・松本大学前,-172607,26077,177289
今井,-151059,67330,177308
本郷,-145650,74755,177397
時又,-182040,-57612,177445
稲荷山,-154452,62702,177512
金谷,-156209,-129661,177626
権堂,-146739,73734,177631
木曽平沢,-180460,-473,177719
善光寺下,-146591,74303,177861
新村,-173352,25740,177874
坂北,-162975,49322,177999
梓橋,-172131,29459,178033
蓮,-132427,90772,178094
川中島,-150518,69453,178100
田沢,-169957,35135,178155
安茂里,-149492,71232,178320
切石,-183619,-52211,178402
越後田中,-107354,112222,178479
川路,-183154,-58801,178707
内郷,90882,115440,178756
天竜峡,-183037,-60138,178776
田本,-181375,-70399,178891
温田,-181090,-71814,178899
為栗,-180488,-74549,178899
泉郷,50787,134912,178925
三溝,-174621,25342,178934
奈良井,-181934,-1505,178972
千代,-183115,-61456,179045
足滝,-109442,111549,179122
金野,-183102,-62573,179202
津南,-106238,114223,179504
平岡,-180112,-78788,179525
一日市場,-173377,30583,179601
森口,-175529,24846,179624
森宮野原,-111795,110523,179658
越後田沢,-101268,117705,179723
湯野上温泉,5482,144697,179806
唐笠,-183772,-64427,180161
越後鹿渡,-103334,116924,180168
中萱,-173407,32116,180193
横倉,-114222,109496,180275
飯山,-131488,94788,180292
越後水沢,-99155,119783,180390
門島,-183483,-67427,180395
牟礼,-141667,84747,180726
浦佐,-80841,129917,180835
南豊科,-173352,34013,180855
北飯山,-131032,96299,181066
鏡石,45553,138885,181135
藪原,-184898,-5808,181148
明科,-170831,40953,181310
豊科,-173561,35020,181433
波田,-177784,24046,181492
鶯巣,-182042,-79445,181558
水窪,-178820,-91055,181694
平滝,-115690,110197,181718
伊那小沢,-181875,-80920,181765
土市,-98126,122345,182066
向市場,-178936,-92082,182124
信濃平,-129684,99185,182248
中井侍,-181899,-82937,182311
宮ノ越,-186845,-10407,182400
美佐島,-92709,125996,182594
いわき,94185,117942,182655
渕東,-179280,23498,182733
八色,-79744,132613,182848
小和田,-181860,-85826,183059
信濃白鳥,-118428,109964,183198
芦ノ牧温泉南,7560,148089,183334
柏矢町,-174641,37535,183406
赤井,91844,120404,183458
城西,-179662,-94562,183607
戸狩野沢温泉,-128342,102678,183935
西大滝,-120412,109507,184063
新島々,-180928,22934,184118
上境,-125981,105010,184138
原野,-188905,-12261,184206
しんざ,-94609,126988,184373
十日町,-95676,126458,184424
穂高,-175182,39386,184639
古間,-143049,89123,184671
大川ダム公園,7747,149447,184702
川東,50801,141084,184791
相月,-180398,-96399,184907
上桑名川,-123948,107750,184923
桑名川,-122454,109165,185072
大嵐,-183495,-87950,185229
倉本,-191694,-27558,185758
魚沼中条,-94221,129180,186114
小出,-78058,137238,186433
安曇追分,-175930,43044,186817
草野,99047,119732,186846
須賀川,47714,144434,187071
須原,-193533,-31414,187487
小川郷,91450,125485,187569
上松,-193475,-21842,187843
越後堀之内,-80299,137857,187878
黒姫,-146000,90825,188003
藪神,-76059,139803,188047
小塩江,52913,143921,188145
木曽福島,-193319,-15223,188258
細野,-176500,45854,188520
只見,-45937,149951,188941
掛川,-166437,-135040,189147
北細野,-176753,46899,189197
下条,-93503,133491,189590
佐久間,-184519,-98873,189620
越後広瀬,-75550,141765,189683
谷田川,52996,145928,190077
芦ノ牧温泉,8757,154840,190156
川前,81392,134170,190210
掛川市役所前,-167815,-134882,190234
信濃松川,-177085,48908,190370
中部天竜,-185160,-99588,190466
西掛川,-168270,-134691,190520
北堀之内,-83118,139747,190737
まつだい,-108341,126322,190784
原田,-172030,-129274,190993
四ツ倉,101999,122925,191148
磐城守山,50794,147811,191201
魚沼田中,-74536,143929,191333
夏井,73576,139349,191443
原谷,-171863,-130576,191496
会津横田,-35190,154573,191536
安曇沓掛,-177373,51504,191783
会津越川,-32218,155262,191789
妙高高原,-144533,98014,191816
内ヶ巻,-87076,139152,191829
会津大塩,-37206,154628,191907
いこいの広場,-171098,-132852,191988
会津蒲生,-44278,153442,192018
戸綿,-174001,-127990,192082
あまや,7458,157256,192469
大白川,-63123,149105,192490
下川合,-186698,-101331,192509
遠州森,-174626,-128010,192638
小野新町,71235,141857,192775
野尻,-198916,-34049,192842
会津塩沢,-42342,154744,192920
安積永盛,47436,150662,192967
越後岩沢,-91928,138179,193057
越後須原,-72282,146839,193270
信濃常盤,-178010,53690,193342
森町病院前,-175236,-128552,193434
越後川口,-86177,141693,193763
南大町,-177139,56354,193805
信濃大町,-176629,57319,193812
早瀬,-187749,-102281,193824
愛野,-171351,-136802,194251
円田,-176178,-129124,194535
十二兼,-200665,-37076,194604
浦川,-188810,-102729,194975
北大町,-176919,59244,194987
門田,7118,160076,195259
関山,-143119,104673,195490
久ノ浜,103269,127399,195561
南木曽,-201587,-42199,195654
入広瀬,-67988,151037,195820
遠江一宮,-177871,-129396,196149
上市場,-189842,-103390,196172
本名,-29599,160366,196516
信濃木崎,-177936,61268,196858
出馬,-190589,-103468,196900
南若松,7175,161905,197088
ほくほく大島,-117596,128090,197357
会津川口,-27375,161503,197392
会津本郷,5240,162386,197447
敷地,-180136,-128405,197664
袋井,-174657,-137963,197675
郡山,49185,155284,197893
会津高田,705,163203,198056
稲尾,-178219,63324,198115
会津宮下,-16474,163259,198269
末続,103217,130692,198272
早戸,-21202,163141,198455
神俣,73232,147314,198575
海ノ口,-178261,64610,198791
豊岡,-182344,-127190,199043
小千谷,-90403,145808,199268
会津西方,-15196,164342,199287
上野部,-183211,-126053,199288
会津中川,-26633,163570,199370
天竜二俣,-184102,-124715,199473
二本木,-142490,110997,199618
郡山富田,47428,157764,199798
ヤナバスキー場前,-176993,69041,199957
二俣本町,-184763,-124672,200045
西若松,7142,164885,200059
簗場,-177932,67837,200141
会津水沼,-24115,164592,200144
東栄,-193410,-105671,200315
会津桧原,-13606,165556,200434
滝谷,-11970,165821,200645
菅谷,71871,150159,200654
舞木,53284,157368,201067
西鹿島,-185232,-126067,201093
田立,-207024,-43280,201130
新井,-140375,115087,201206
池場,-194318,-106158,201337
虫川大杉,-123633,129053,201611
七日町,7625,166657,201860
広野,103444,135069,202060
遠州岩水寺,-185883,-127429,202294
喜久田,45003,161191,202477
会津若松,8560,167440,202706
南神城,-178116,72545,202750
岩水寺,-186658,-127042,202807
坂下,-208683,-44794,202858
日和田,49109,160590,202973
上戸,29203,165146,202973
遠州芝本,-186125,-128568,203033
郷戸,-10908,168263,203057
新鶴,-428,168347,203163
うらがわら,-125619,129571,203194
北新井,-140142,117988,203222
落合川,-208911,-50233,203427
神城,-177622,74875,203576
大越,70582,154255,203947
安子ヶ島,42211,163430,203965
飯森,-177276,76239,204023
磐梯熱海,38673,164398,204100
猪苗代湖畔,27784,166559,204124
遠州小林,-186453,-130305,204131
越後滝谷,-88427,152333,204394
白馬,-175990,79033,204487
宮口,-188397,-127812,204706
中山宿,34145,166034,204760
信濃森上,-175239,80684,204789
美薗中央公園,-187006,-131424,205145
若宮,-444,170359,205173
磐田,-181477,-141296,205234
会津柳津,-9672,170740,205508
白馬大池,-173957,83870,205553
三河川合,-198028,-108598,205673
関都,27426,168223,205706
三春,57086,161070,205741
千国,-172537,86427,205889
浜北,-187517,-132172,205949
南小谷,-171839,87677,206065
上越妙高,-140911,121161,206119
中津川,-211444,-52957,206176
磐城常葉,68375,157929,206550
木戸,103711,140226,206555
五百川,49030,164638,206851
遠州小松,-188128,-132946,206853
塚山,-97748,150939,207073
会津坂本,-6769,172363,207101
広田,8835,171907,207181
要田,60819,161574,207396
会津坂下,-1037,172738,207536
遠州西ヶ崎,-188506,-133767,207576
豊田町,-184448,-141030,207642
堂島,6927,172523,207667
南高田,-141366,122881,207719
川桁,26829,170436,207795
柿平,-199876,-109798,207830
大池いこいの森,-129624,132416,207857
フルーツパーク,-192190,-127297,207861
船引,65591,160389,207870
中土,-171813,91117,208107
前川,-89368,156019,208148
猪苗代,23839,171616,208510
磐梯町,14144,172824,208543
翁島,19496,172326,208636
竜田,103699,142941,208854
積志,-189486,-134712,208889
塔寺,-4250,174150,208895
越後岩塚,-95369,154356,209116
来迎寺,-92937,155555,209179
東長原,10140,173831,209198
北条,-106005,149169,209302
都田,-193478,-127950,209305
宮内,-87908,158264,209634
くびき,-130648,133959,209707
三河槙原,-201993,-109971,209867
さぎの宮,-190069,-135899,209970
長鳥,-101793,152238,210051
越後広田,-103832,151257,210120
笈川,5476,175227,210281
常葉大学前,-194322,-128857,210465
本宮,50034,168117,210471
天竜川,-188137,-140402,210504
北小谷,-171860,95220,210650
安田,-108202,149511,210659
自動車学校前,-190611,-136962,210959
飯沼,-215424,-61916,211106
美乃坂本,-216260,-55161,211175
湯谷温泉,-202755,-111954,211295
野沢,-16666,176553,211556
阿木,-215676,-64020,211637
長岡,-86652,161096,211762
上島,-191181,-137622,211777
塩川,4756,176890,211904
春日山,-141980,128574,212463
曳馬,-191576,-138539,212569
金指,-196899,-129137,212897
三河大野,-203719,-113993,212943
茨目,-110431,151308,213314
助信,-191873,-139600,213348
黒部湖,-194680,65060,213380
尾登,-12523,178548,213382
東野,-218305,-58775,213587
北長岡,-85881,163425,213629
黒井,-138955,132549,213639
飯羽間,-217676,-65346,213804
犀潟,-135658,135366,213838
土底浜,-133873,136745,213865
八幡,-192115,-140320,213913
直江津,-141300,131035,213931
黒部平,-195380,65133,214034
潟町,-132514,137991,214061
荻野,-9806,179494,214264
姥堂,4208,179311,214294
極楽,-218148,-66174,214391
岡地,-198329,-129619,214393
岩村,-218026,-67403,214454
遠州病院,-192364,-141034,214483
上下浜,-130550,139978,214522
富岡,105399,148690,214644
浜松,-192183,-141785,214699
第一通り,-192424,-141369,214701
新浜松,-192470,-141828,214969
柏崎,-113107,152065,215293
恵那,-220189,-57749,215347
上野尻,-17603,180336,215382
柿崎,-128357,142764,215545
大観峰,-197062,65468,215679
気賀,-199597,-130156,215767
東柏崎,-112260,153199,215860
本長篠,-206175,-116086,216004
会津豊川,3839,181258,216222
夜ノ森,102631,152178,216227
鯨波,-116580,151258,216346
西中通,-109840,155240,216468
平岩,-175400,100212,216523
山都,-5892,181893,216630
押切,-84178,167416,216717
米山,-124254,147040,216816
笠島,-121051,149088,216821
青海川,-119352,150225,216893
花白温泉,-220508,-68852,217130
谷浜,-147383,130266,217242
荒浜,-109015,156581,217254
長篠城,-207247,-116800,217267
喜多方,3068,182408,217337
山岡,-221574,-69367,218264
大海,-208707,-116303,218432
西気賀,-202387,-130631,218482
鳥居,-208502,-117343,218633
刈羽,-107411,159365,218963
室堂,-200293,66397,218972
野志,-222231,-72459,219423
二本松,53179,176541,219430
有間川,-150690,130428,219529
見附,-82052,171303,219602
高塚,-197184,-143170,219728
西山,-105423,161368,219834
寸座,-203247,-131978,219846
明智,-222453,-74250,219956
礼拝,-103485,162535,220011
大野,101877,157002,220040
徳沢,-20332,184990,220189
欅平,-194376,79517,220253
武並,-225111,-59532,220435
小滝,-175828,105917,220453
浜名湖佐久米,-204464,-132043,220968
三河東郷,-210735,-118245,221042
筒石,-157523,126557,221252
石地,-101266,165296,221528
名立,-154613,129663,221565
豊実,-22671,186503,221861
小屋平,-195329,81126,221904
根知,-175084,109064,221907
東都筑,-205618,-131884,221935
茶臼山,-211917,-118427,222205
帯織,-79919,174929,222290
都筑,-206713,-131259,222648
安達,55914,179131,222671
鐘釣,-194890,83705,222890
東新町,-212969,-118871,223346
能生,-164004,123202,223353
津川,-34075,187397,223892
東光寺,-78627,177139,223954
小木ノ城,-99820,168767,224058
三ヶ日,-208776,-130466,224169
舞阪,-202238,-143586,224339
頸城大野,-174515,113438,224339
鹿瀬,-31138,188248,224389
新城,-213900,-119412,224413
猫又,-195708,85408,224490
浦本,-168374,120864,224839
日出谷,-26393,189315,224971
奥浜名湖,-209336,-131292,225029
出雲崎,-98728,170561,225237
釜戸,-229627,-62382,225254
双葉,103736,161954,225268
梶屋敷,-171439,118975,225771
尾奈,-209744,-132514,225923
弁天島,-204357,-143045,225934
出平,-196382,87388,226123
姫川,-175508,115042,226144
野田城,-215312,-120686,226203
三条,-77015,180254,226393
東三条,-75782,181055,226771
保内,-72248,182217,226822
三川,-39838,189666,226929
松川,57426,183677,227458
小島谷,-93805,175247,227574
糸魚川,-175311,117634,227723
