station,x,y,tokyo
渋谷,-11830,-37813,6525
東尾久三丁目,-5379,-28220,6553
白金台,-9733,-40182,6559
目白,-11494,-31013,6575
参宮橋,-12649,-35648,6637
都庁前,-12734,-34318,6673
庚申塚,-9386,-28937,6678
国際展示場正門,-3807,-41025,6684
東京テレポート,-5006,-41371,6719
西新宿,-12740,-33882,6719
尾久,-7186,-28087,6741
池袋,-11082,-30207,6751
恵比寿,-11157,-39191,6758
千住大橋,-3281,-28577,6762
品川,-8445,-41083,6775
台場,-5612,-41505,6784
熊野前,-5734,-27929,6816
新庚申塚,-9314,-28718,6835
西ヶ原,-8236,-28182,6901
上中里,-7905,-28056,6926
高輪台,-9325,-40858,6931
宮ノ前,-6110,-27747,6990
青海,-4711,-41625,7021
西ヶ原四丁目,-9103,-28371,7049
小台,-6475,-27679,7068
初台,-13130,-35335,7080
代官山,-11757,-39017,7114
新木場,-609,-39293,7115
荒川遊園地前,-6860,-27661,7118
西巣鴨,-9461,-28461,7130
鐘ヶ淵,-1172,-29538,7145
下落合,-12488,-31533,7169
八広,-453,-30264,7183
代々木公園,-12994,-36701,7193
荒川車庫前,-7282,-27637,7201
平井,819,-32568,7227
天王洲アイル,-7466,-41837,7235
代々木八幡,-13061,-36633,7239
滝野川一丁目,-8855,-28031,7259
船の科学館,-5454,-41982,7271
梶原,-7780,-27614,7324
東大島,1263,-34407,7345
西新宿五丁目,-13455,-34393,7388
神泉,-12694,-38025,7391
栄町,-8240,-27639,7420
北池袋,-10576,-28802,7449
飛鳥山,-8683,-27724,7481
目黒,-10639,-40718,7524
足立小台,-5708,-27220,7525
北品川,-8517,-41883,7552
京成関屋,-1943,-28405,7560
牛田,-1950,-28341,7610
中野坂上,-13608,-33508,7632
五反田,-9886,-41364,7645
東中野,-13415,-32580,7650
王子,-8602,-27474,7689
北千住,-2595,-27864,7703
板橋,-10325,-28286,7725
落合,-13334,-32093,7725
中目黒,-12180,-39475,7728
王子駅前,-8600,-27428,7732
テレコムセンター,-4861,-42409,7768
堀切,-1442,-28474,7789
中井,-13302,-31735,7826
椎名町,-12576,-30335,7851
下板橋,-10642,-28279,7909
四ツ木,119,-29764,7943
要町,-12198,-29590,7999
代々木上原,-13891,-36709,8061
駒場東大前,-13514,-37858,8067
新板橋,-10307,-27859,8075
幡ヶ谷,-14086,-35850,8088
新馬場,-8317,-42534,8113
大崎,-9519,-42159,8183
大崎広小路,-10052,-41897,8191
不動前,-10881,-41547,8335
中野新橋,-14420,-34194,8362
池尻大橋,-13453,-38738,8393
落合南長崎,-13556,-30680,8510
扇大橋,-5649,-26166,8581
品川シーサイド,-7568,-43288,8680
堀切菖蒲園,-523,-27997,8731
東北沢,-14511,-37105,8763
板橋区役所前,-11148,-27584,8769
祐天寺,-12913,-40244,8780
西葛西,2378,-37214,8808
新中野,-14825,-33551,8830
船堀,2762,-35082,8844
青物横丁,-8171,-43354,8868
中野富士見町,-14949,-34289,8885
池ノ上,-14475,-37668,8897
東長崎,-13582,-29948,8904
新小岩,2199,-31420,8914
大山,-11818,-27908,8923
千川,-13019,-29038,8982
小菅,-1870,-26772,9006
高野,-5661,-25709,9037
新井薬師前,-14543,-31521,9058
十条,-10044,-26578,9073
笹塚,-15041,-36193,9083
王子神谷,-8833,-26035,9128
戸越銀座,-10719,-42595,9128
戸越,-10595,-42771,9218
武蔵小山,-11673,-42094,9245
大井町,-8985,-43518,9251
東十条,-9639,-26195,9255
中野,-15134,-32654,9295
鮫洲,-8234,-43811,9327
京成立石,1341,-29046,9347
下北沢,-15028,-37548,9384
下神明,-9696,-43406,9394
お花茶屋,592,-28000,9477
五反野,-2143,-25971,9606
江北,-5694,-25095,9648
戸越公園,-10413,-43380,9671
学芸大学,-13413,-41175,9762
方南町,-15875,-35098,9807
代田橋,-15746,-36478,9826
葛西臨海公園,2549,-39477,9841
東高円寺,-15840,-33495,9844
沼袋,-15244,-31144,9847
荏原中延,-10989,-43272,9849
三軒茶屋,-14684,-39553,9865
新代田,-15567,-37430,9867
板橋本町,-11549,-26497,9892
綾瀬,-759,-26386,9898
梅島,-3187,-25256,9910
葛西,3548,-37319,9964
世田谷代田,-15549,-37890,9985
西小山,-12195,-42656,10009
新江古田,-14723,-29666,10025
小竹向原,-13911,-28458,10041
中板橋,-12565,-27030,10075
立会川,-8552,-44539,10110
江古田,-14522,-29115,10146
西太子堂,-15121,-39425,10189
中延,-10943,-43736,10231
西新井,-3884,-24709,10264
西大井,-10123,-44183,10277
大師前,-4672,-24523,10309
大井競馬場前,-7804,-44925,10334
東松原,-16083,-37413,10360
青砥,2074,-28194,10450
西新井大師西,-5712,-24277,10465
一之江,4485,-34842,10560
志茂,-9116,-24622,10561
ときわ台,-13073,-26738,10627
青井,-1183,-25295,10633
荏原町,-11396,-43947,10637
若林,-15704,-39268,10642
明大前,-16562,-36697,10669
新桜台,-14894,-28719,10677
旗の台,-11779,-43800,10709
新高円寺,-16726,-33505,10722
洗足,-12613,-43249,10733
高円寺,-16616,-32677,10741
梅ヶ丘,-16278,-38147,10758
本蓮沼,-11864,-25622,10798
野方,-16268,-31096,10824
赤羽,-10136,-24666,10858
桜台,-15461,-28971,11015
北千束,-12689,-43671,11117
松陰神社前,-16150,-39494,11142
